,name,link,name_clean,objectID
193,Thomas Henry Bitter Lemon,https://diffordsguide.com/beer-wine-spirits/369/thomas-henry-bitter-lemon,thomas henry bitter lemon,thomas-henry-bitter-lemon
194,Bacardi 8 year old rum,https://diffordsguide.com/beer-wine-spirits/1110/bacardi-ocho-anos,bacardi 8 year old rum,bacardi-8-year-old-rum
205,Americano Bianco,https://diffordsguide.com/beer-wine-spirits/417/cocchi-americano-bianco,americano bianco,americano-bianco
210,Lemon-lime soda (Sprite/7-Up),,lemonlime soda sprite7up,lemonlime-soda-sprite7up
211,Italicus liqueur,https://diffordsguide.com/beer-wine-spirits/5652/italicus-rosolio-di-bergamotto,italicus liqueur,italicus-liqueur
212,Bepi Tosolini Grappa di Moscato,https://diffordsguide.com/beer-wine-spirits/5270/bepi-tosolini-grappa-di-moscato,bepi tosolini grappa di moscato,bepi-tosolini-grappa-di-moscato
215,Swedish Punsch liqueur,https://diffordsguide.com/beer-wine-spirits/category/222/swedish-punsch,swedish punsch liqueur,swedish-punsch-liqueur
216,Byrrh Grand Quinquina,https://diffordsguide.com/beer-wine-spirits/4216/byrrh-grand-quinquina,byrrh grand quinquina,byrrh-grand-quinquina
220,Brut Champagne,https://diffordsguide.com/beer-wine-spirits/601/taittinger-brut-reserve-nv-champagne,brut champagne,brut-champagne
221,Rutte Old Simon Genever,https://diffordsguide.com/beer-wine-spirits/5460/rutte-old-simon-genever,rutte old simon genever,rutte-old-simon-genever
231,Peachtree peach schnapps,https://diffordsguide.com/beer-wine-spirits/2399/peachtree-liqueur,peachtree peach schnapps,peachtree-peach-schnapps
240,Orange blossom honey,https://diffordsguide.com/g/1109/honey-and-honey-syrup/raw-honey,orange blossom honey,orange-blossom-honey
241,Bacardi Gold rum,https://diffordsguide.com/beer-wine-spirits/524/bacardi-carta-oro-rum,bacardi gold rum,bacardi-gold-rum
249,Thomas Henry Ginger Beer,https://diffordsguide.com/beer-wine-spirits/367/thomas-henry-ginger-beer,thomas henry ginger beer,thomas-henry-ginger-beer
256,Rutte Sloe Gin,https://diffordsguide.com/beer-wine-spirits/6217/rutte-sloe-gin,rutte sloe gin,rutte-sloe-gin
271,Tuaca Liqueur,https://diffordsguide.com/beer-wine-spirits/174/tuaca-liqueur,tuaca liqueur,tuaca-liqueur
272,Grand Marnier or other cognac orange liqueur,https://diffordsguide.com/beer-wine-spirits/114/grand-marnier-cordon-rouge,grand marnier or other cognac orange liqueur,grand-marnier-or-other-cognac-orange-liqueur
273,Irish cream liqueur,https://diffordsguide.com/beer-wine-spirits/526/baileys-irish-cream-liqueur,irish cream liqueur,irish-cream-liqueur
274,Milk (semi-skimmed/2% fat),,milk semiskimmed2 fat,milk-semiskimmed2-fat
275,Ketel One Citroen vodka,https://diffordsguide.com/beer-wine-spirits/1181/ketel-one-citroen-vodka,ketel one citroen vodka,ketel-one-citroen-vodka
276,Blackcurrant flavoured vodka,,blackcurrant flavoured vodka,blackcurrant-flavoured-vodka
282,Dark cr̬me de cacao liqueur,,dark crme de cacao liqueur,dark-crme-de-cacao-liqueur
285,Single cream / half-and-half,,single cream  halfandhalf,single-cream--halfandhalf
295,Giffard Cassis Noir de Bourgogne,https://diffordsguide.com/beer-wine-spirits/1630/giffard-cassis-noir-de-bourgogne,giffard cassis noir de bourgogne,giffard-cassis-noir-de-bourgogne
296,Red grapes (seedless),,red grapes seedless,red-grapes-seedless
309,Apricot jam (preserve),,apricot jam preserve,apricot-jam-preserve
