,name,link,name_clean,objectID
1610,Mandarine Napoleon liqueur,https://diffordsguide.com/beer-wine-spirits/1122/mandarine-napoleon-liqueur,mandarine napoleon liqueur,mandarine-napoleon-liqueur
1615,Boker's bitters,https://diffordsguide.com/beer-wine-spirits/6253/the-bitter-truth-bogarts-bitters,bokers bitters,bokers-bitters
1629,Framboise eau-de-vie,,framboise eaudevie,framboise-eaudevie
1631,Burlesque bitters,https://diffordsguide.com/beer-wine-spirits/2292/bittermens-burlesque-bitters,burlesque bitters,burlesque-bitters
1633,Cranberry juice drink (white),https://diffordsguide.com/beer-wine-spirits/215/ocean-spray-classic-cranberry-drink,cranberry juice drink white,cranberry-juice-drink-white
1649,Lapsang Souchong tea liqueur,,lapsang souchong tea liqueur,lapsang-souchong-tea-liqueur
1651,Boston Bittahs bitters,https://diffordsguide.com/beer-wine-spirits/2291/bittermens-boston-bittahs,boston bittahs bitters,boston-bittahs-bitters
1652,Dark/black/blackstrap rum,https://diffordsguide.com/beer-wine-spirits/579/goslings-black-seal-rum,darkblackblackstrap rum,darkblackblackstrap-rum
1671,Dewar's 12 Year Old Scotch whisky (bacon fat washed),https://diffordsguide.com/beer-wine-spirits/2801/dewars-12-year-old-scotch-whisky,dewars 12 year old scotch whisky bacon fat washed,dewars-12-year-old-scotch-whisky-bacon-fat-washed
1675,Becherovka liqueur,,becherovka liqueur,becherovka-liqueur
1676,Wormwood bitters (optional),https://diffordsguide.com/beer-wine-spirits/899/cocktail-kingdom-wormwood-bitters,wormwood bitters optional,wormwood-bitters-optional
1683,Dry white port,https://diffordsguide.com/beer-wine-spirits/1839/taylors-chip-dry-white-port,dry white port,dry-white-port
1695,Chocolate Spirit,https://diffordsguide.com/beer-wine-spirits/698/mozart-chocolate-vodka,chocolate spirit,chocolate-spirit
1715,Dandelion & Burdock,https://diffordsguide.com/beer-wine-spirits/4546/fentimans-dandelion-and-burdock,dandelion  burdock,dandelion--burdock
1729,Lychee rose tea (smoked),,lychee rose tea smoked,lychee-rose-tea-smoked
1762,Lemongrass stem,,lemongrass stem,lemongrass-stem
1768,"Brandy, whisk(e)y, gin, rum etc.",,brandy whiskey gin rum etc,brandy-whiskey-gin-rum-etc
1770,Fruit juice  (often pineapple),,fruit juice  often pineapple,fruit-juice--often-pineapple
1776,Beef bouillon (cold),,beef bouillon cold,beef-bouillon-cold
1788,Banana (yellow) sugar syrup,https://diffordsguide.com/beer-wine-spirits/3929/monin-yellow-banana-syrup,banana yellow sugar syrup,banana-yellow-sugar-syrup
1820,Riesling,,riesling,riesling
1852,Averna Amaro,https://diffordsguide.com/beer-wine-spirits/149/averna-amaro,averna amaro,averna-amaro
1854,Applejack brandy Bottled-in-Bond (50% alc./vol),https://diffordsguide.com/beer-wine-spirits/1720/lairds-straight-bottled-in-bond,applejack brandy bottledinbond 50 alcvol,applejack-brandy-bottledinbond-50-alcvol
1883,Toschi Nocello liqueur,https://diffordsguide.com/beer-wine-spirits/975/toschi-nocello-liqueur,toschi nocello liqueur,toschi-nocello-liqueur
1911,Luxardo Sambuca,https://diffordsguide.com/beer-wine-spirits/231/luxardo-sambuca,luxardo sambuca,luxardo-sambuca
1913,Clove,,clove,clove
1918,Ketel One Cucumber & Mint,https://diffordsguide.com/beer-wine-spirits/6358/ketel-one-cucumber-and-mint,ketel one cucumber  mint,ketel-one-cucumber--mint
1934,Peach bitters,https://diffordsguide.com/beer-wine-spirits/6246/the-bitter-truth-peach-bitters,peach bitters,peach-bitters
1943,Tea syrup (Breakfast tea) 2:1),,tea syrup breakfast tea 21,tea-syrup-breakfast-tea-21
1959,Absolut Vanilia vodka,https://diffordsguide.com/beer-wine-spirits/1225/absolut-vanilia,absolut vanilia vodka,absolut-vanilia-vodka
1961,Chai tea (cold),,chai tea cold,chai-tea-cold
1976,Dunkel (dark lager) beer,,dunkel dark lager beer,dunkel-dark-lager-beer
1978,Pineapple (fresh),,pineapple fresh,pineapple-fresh
1979,Allspice Jamaica pepper (ground),,allspice jamaica pepper ground,allspice-jamaica-pepper-ground
1982,Salted caramel syrup,https://diffordsguide.com/beer-wine-spirits/6160/giffard-salted-caramel-syrup,salted caramel syrup,salted-caramel-syrup
1992,Strawberry flavoured vodka,,strawberry flavoured vodka,strawberry-flavoured-vodka
2002,Bacardi Gold rum (infused with vanilla),https://diffordsguide.com/beer-wine-spirits/524/bacardi-carta-oro-rum,bacardi gold rum infused with vanilla,bacardi-gold-rum-infused-with-vanilla
2006,Difford's Daiquiri Bitters (optional),https://diffordsguide.com/beer-wine-spirits/3134/diffords-daiquiri-bitters,diffords daiquiri bitters optional,diffords-daiquiri-bitters-optional
2015,Freshly extracted celery juice,,freshly extracted celery juice,freshly-extracted-celery-juice
2027,Coriander / cilantro leaves,,coriander  cilantro leaves,coriander--cilantro-leaves
2054,Hot water,,hot water,hot-water
2068,Giffard Caramel Toffee,https://diffordsguide.com/beer-wine-spirits/1628/giffard-caramel-toffee,giffard caramel toffee,giffard-caramel-toffee
2077,Ketel One Grapefruit & Rose,https://diffordsguide.com/beer-wine-spirits/6232/ketel-one-grapefruit-and-rose,ketel one grapefruit  rose,ketel-one-grapefruit--rose
2088,Bourgogne AligotÃ© wine white,,bourgogne aligot wine white,bourgogne-aligot-wine-white
2090,BarSol Mosto Verde Italia Pisco (optional),https://diffordsguide.com/beer-wine-spirits/5128/barsol-mosto-verde-italia-pisco,barsol mosto verde italia pisco optional,barsol-mosto-verde-italia-pisco-optional
2107,Oat milk,,oat milk,oat-milk
2113,Canadian icewine,,canadian icewine,canadian-icewine
2220,Sugar cube,,sugar cube,sugar-cube
2222,Muyu Chinotto Nero,https://diffordsguide.com/beer-wine-spirits/6356/muyu-chinotto-nero,muyu chinotto nero,muyu-chinotto-nero
2238,Giffard Creme de Framboise,https://diffordsguide.com/beer-wine-spirits/1608/giffard-creme-de-framboise,giffard creme de framboise,giffard-creme-de-framboise
2241,Nardini Amaro,https://diffordsguide.com/beer-wine-spirits/2034/nardini-amaro,nardini amaro,nardini-amaro
2257,Ruby port,,ruby port,ruby-port
2258,WKD Original Blue,,wkd original blue,wkd-original-blue
2295,Rose water,,rose water,rose-water
2298,Apple & cardamom shrub,,apple  cardamom shrub,apple--cardamom-shrub
2311,Giffard Pamplemousse liqueur,https://diffordsguide.com/beer-wine-spirits/1681/giffard-pamplemousse-liqueur,giffard pamplemousse liqueur,giffard-pamplemousse-liqueur
2314,Bourbon whiskey (bacon fat washed),https://diffordsguide.com/beer-wine-spirits/69/makers-mark-bourbon,bourbon whiskey bacon fat washed,bourbon-whiskey-bacon-fat-washed
2350,Banana tea soda,,banana tea soda,banana-tea-soda
2371,Antica Ricetta Barolo Chinato,https://diffordsguide.com/beer-wine-spirits/618/antica-ricetta-barolo-chinato,antica ricetta barolo chinato,antica-ricetta-barolo-chinato
2372,Bigallet China China,https://diffordsguide.com/beer-wine-spirits/3607/bigallet-china-china,bigallet china china,bigallet-china-china
2375,Hpnotiq liqueur,,hpnotiq liqueur,hpnotiq-liqueur
2381,Lemon bitters,https://diffordsguide.com/beer-wine-spirits/3729/the-bitter-truth-lemon-bitters,lemon bitters,lemon-bitters
2392,Difford's Margarita Bitters,https://diffordsguide.com/beer-wine-spirits/2705/diffords-margarita-bitters,diffords margarita bitters,diffords-margarita-bitters
2398,Sercial (dry) Madeira wine,https://diffordsguide.com/beer-wine-spirits/5689/blandys-sercial-10-year-old,sercial dry madeira wine,sercial-dry-madeira-wine
2402,Martinique agricole rhum vieux (extra aged),,martinique agricole rhum vieux extra aged,martinique-agricole-rhum-vieux-extra-aged
2404,Pimento dram liqueur,https://diffordsguide.com/beer-wine-spirits/category/711/pimento-berry-spiced-liqueurs,pimento dram liqueur,pimento-dram-liqueur
2457,Gooseberry & mint cordial,,gooseberry  mint cordial,gooseberry--mint-cordial
2464,Watermelon (fresh),,watermelon fresh,watermelon-fresh
2467,Budweiser Budvar,https://diffordsguide.com/beer-wine-spirits/2008/budweiser-budvar,budweiser budvar,budweiser-budvar
2539,Agavero liqueur,https://diffordsguide.com/beer-wine-spirits/143/agavero-liqueur,agavero liqueur,agavero-liqueur
2548,Black sambuca liqueur,https://diffordsguide.com/beer-wine-spirits/212/opal-nera-liqueur,black sambuca liqueur,black-sambuca-liqueur
2580,RosÃ© champagne,https://diffordsguide.com/beer-wine-spirits/2650/taittinger-prestige-rose,ros champagne,ros-champagne
2599,Jerry Thomas bitters,https://diffordsguide.com/beer-wine-spirits/6245/the-bitter-truth-jerry-thomas-bitters,jerry thomas bitters,jerry-thomas-bitters
2689,Jamaican aged blended rum,https://diffordsguide.com/beer-wine-spirits/220/myerss-original-dark-rum,jamaican aged blended rum,jamaican-aged-blended-rum
2702,Pear juice (freshly pressed),,pear juice freshly pressed,pear-juice-freshly-pressed
2708,Navy rum (54.5% alc./vol.),,navy rum 545 alcvol,navy-rum-545-alcvol
2758,Lime (fresh fruit) (cut into segments),,lime fresh fruit cut into segments,lime-fresh-fruit-cut-into-segments
2767,Chamomile liqueur,,chamomile liqueur,chamomile-liqueur
2769,Vermouth di Torino,,vermouth di torino,vermouth-di-torino
2781,India pale ale (IPA) beer,,india pale ale ipa beer,india-pale-ale-ipa-beer
2808,Pimm's No. 1 Cup,https://diffordsguide.com/beer-wine-spirits/363/pimms-no-1-cup,pimms no 1 cup,pimms-no-1-cup
2823,Chilled water (optional),,chilled water optional,chilled-water-optional
2911,Wasabi paste,,wasabi paste,wasabi-paste
2913,Soy sauce,,soy sauce,soy-sauce
2970,Giffard Fraise des Bois,https://diffordsguide.com/beer-wine-spirits/1607/giffard-fraise-des-bois,giffard fraise des bois,giffard-fraise-des-bois
3018,Powdered sugar (or use 5ml of 2:1 sugar syrup per spoon),,powdered sugar or use 5ml of 21 sugar syrup per spoon,powdered-sugar-or-use-5ml-of-21-sugar-syrup-per-spoon
3041,Bacardi Carta Blanca light rum (infused with vanilla),https://diffordsguide.com/beer-wine-spirits/525/bacardi-carta-blanca-light-rum,bacardi carta blanca light rum infused with vanilla,bacardi-carta-blanca-light-rum-infused-with-vanilla
3042,White Zinfandel rose wine,,white zinfandel rose wine,white-zinfandel-rose-wine
3054,Blackberries,,blackberries,blackberries
3080,Homemade ginger juice syrup (1:1),,homemade ginger juice syrup 11,homemade-ginger-juice-syrup-11
3081,Cava sparkling wine,,cava sparkling wine,cava-sparkling-wine
3154,Agave Sec Liqueur,https://diffordsguide.com/beer-wine-spirits/1/agave-sec-liqueur,agave sec liqueur,agave-sec-liqueur
3156,Sugar-free sweetener,,sugarfree sweetener,sugarfree-sweetener
3163,Bigallet Genepi Grand Tetras,https://diffordsguide.com/beer-wine-spirits/3605/bigallet-genepi-grand-tetras,bigallet genepi grand tetras,bigallet-genepi-grand-tetras
3177,Bob's Cardamom bitters,https://diffordsguide.com/beer-wine-spirits/5744/bobs-cardamom-bitters,bobs cardamom bitters,bobs-cardamom-bitters
3184,Blood orange liqueur,https://diffordsguide.com/beer-wine-spirits/2269/solerno-liqueur,blood orange liqueur,blood-orange-liqueur
3205,ClÃ©ment Canne Bleue 2016,https://diffordsguide.com/beer-wine-spirits/6015/clement-canne-bleue-2016,clment canne bleue 2016,clment-canne-bleue-2016
3206,ClÃ©ment CrÃ©ole Shrubb liqueur,https://diffordsguide.com/beer-wine-spirits/869/clement-creole-shrubb,clment crole shrubb liqueur,clment-crole-shrubb-liqueur
3216,Basil leaves (torn),,basil leaves torn,basil-leaves-torn
3220,Green tea (cold),,green tea cold,green-tea-cold
3223,Lime (fresh fruit) (chopped wedges),,lime fresh fruit chopped wedges,lime-fresh-fruit-chopped-wedges
3246,Vanilla ice-cream,,vanilla icecream,vanilla-icecream
3249,Ginger juice,,ginger juice,ginger-juice
3251,Salted grapefruit soda,,salted grapefruit soda,salted-grapefruit-soda
3279,Birch spirit/birch eau-de-vie,https://diffordsguide.com/beer-wine-spirits/6097/freya-birch-spirit,birch spiritbirch eaudevie,birch-spiritbirch-eaudevie
3299,Canadian rye whisky,,canadian rye whisky,canadian-rye-whisky
3339,Unsalted butter,,unsalted butter,unsalted-butter
3359,Armagnac brandy,,armagnac brandy,armagnac-brandy
3373,Lime (fresh fruit) (chopped),,lime fresh fruit chopped,lime-fresh-fruit-chopped
3374,Caster sugar,,caster sugar,caster-sugar
3376,Novo Fogo Silver cachaÃ§a (from freezer),https://diffordsguide.com/beer-wine-spirits/391/novo-fogo-silver,novo fogo silver cachaa from freezer,novo-fogo-silver-cachaa-from-freezer
3395,Dolin Chamberyzette,https://diffordsguide.com/beer-wine-spirits/5802/dolin-chamberyzette,dolin chamberyzette,dolin-chamberyzette
3411,Green tea liqueur,https://diffordsguide.com/beer-wine-spirits/154/zen-green-tea-liqueur,green tea liqueur,green-tea-liqueur
3418,Star anise,,star anise,star-anise
3448,Coconut sugar syrup,https://diffordsguide.com/beer-wine-spirits/6422/giffard-coconut-syrup,coconut sugar syrup,coconut-sugar-syrup
3449,Greek yogurt,,greek yogurt,greek-yogurt
3502,Pineau des Charentes rouge,,pineau des charentes rouge,pineau-des-charentes-rouge
3505,Lemon syrup (glasco citron),https://diffordsguide.com/beer-wine-spirits/5785/monin-lemon-syrup,lemon syrup glasco citron,lemon-syrup-glasco-citron
3506,Caraway seeds,,caraway seeds,caraway-seeds
3508,Rocket/Arugula salad leaves (wild),,rocketarugula salad leaves wild,rocketarugula-salad-leaves-wild
3515,O/Purist Tsipouro,https://diffordsguide.com/beer-wine-spirits/6646/o-purist-tsipouro,opurist tsipouro,opurist-tsipouro
3522,*Special ingredient #2 (see above),,special ingredient 2 see above,special-ingredient-2-see-above
3528,Rose sugar syrup,,rose sugar syrup,rose-sugar-syrup
3536,Commandaria Cypriot Wine,https://diffordsguide.com/beer-wine-spirits/5782/st-john-commandaria,commandaria cypriot wine,commandaria-cypriot-wine
3548,Bacardi 4 year old gold rum,https://diffordsguide.com/beer-wine-spirits/6185/bacardi-anejo-cuatro,bacardi 4 year old gold rum,bacardi-4-year-old-gold-rum
3552,Mascarpone cheese,,mascarpone cheese,mascarpone-cheese
3569,Japanese blended whisky,,japanese blended whisky,japanese-blended-whisky
3578,Lychee juice drink,,lychee juice drink,lychee-juice-drink
3580,Cherries (destoned),,cherries destoned,cherries-destoned
3624,Mozart black liqueur,,mozart black liqueur,mozart-black-liqueur
3625,Pistachio liqueur,,pistachio liqueur,pistachio-liqueur
3649,Americano Rosa,https://diffordsguide.com/beer-wine-spirits/4488/cocchi-americano-rosa,americano rosa,americano-rosa
3654,Chardonnay (Chablis) white wine,,chardonnay chablis white wine,chardonnay-chablis-white-wine
3664,Grapefruit oleo saccharum,,grapefruit oleo saccharum,grapefruit-oleo-saccharum
3683,Elderflower cordial,,elderflower cordial,elderflower-cordial
3706,Grapefruit flavoured vodka,,grapefruit flavoured vodka,grapefruit-flavoured-vodka
3733,Akvavit / Aquavit,https://diffordsguide.com/beer-wine-spirits/3841/lysholm-linie-aquavit,akvavit  aquavit,akvavit--aquavit
3788,Melon (Cantaloupe) (chopped),,melon cantaloupe chopped,melon-cantaloupe-chopped
3802,Manzanilla sherry,,manzanilla sherry,manzanilla-sherry
3826,Irn-Bru,,irnbru,irnbru
3961,Ricard Pastis,https://diffordsguide.com/beer-wine-spirits/188/ricard-pastis,ricard pastis,ricard-pastis
3991,Coffee ice-cream,,coffee icecream,coffee-icecream
4011,Worcestershire sauce (optional),,worcestershire sauce optional,worcestershire-sauce-optional
4037,Fennel seeds,,fennel seeds,fennel-seeds
4054,Celery saccharum (celery syrup),https://diffordsguide.com/encyclopedia/2152/cocktails/celery-saccharum,celery saccharum celery syrup,celery-saccharum-celery-syrup
4062,Clement Sirop de Canne,https://diffordsguide.com/beer-wine-spirits/6017/clement-sirop-de-canne,clement sirop de canne,clement-sirop-de-canne
4089,Strawberry candy (bonbon) syrup,,strawberry candy bonbon syrup,strawberry-candy-bonbon-syrup
4090,Pomegranate juice,https://diffordsguide.com/beer-wine-spirits/196/pom-wonderful-pomegranate-juice,pomegranate juice,pomegranate-juice
4093,Aphrodite Bitters,https://diffordsguide.com/beer-wine-spirits/902/dr-adam-elmegirabs-aphrodite-bitters,aphrodite bitters,aphrodite-bitters
4115,Pepper flavoured vodka,,pepper flavoured vodka,pepper-flavoured-vodka
4123,Roasted coffee beans,,roasted coffee beans,roasted-coffee-beans
4125,Balsamic vinegar of Modena,,balsamic vinegar of modena,balsamic-vinegar-of-modena
4149,Grapefruit gin,https://diffordsguide.com/beer-wine-spirits/6796/chase-pink-grapefruit-and-pomelo-gin,grapefruit gin,grapefruit-gin
4196,Carrot juice (freshly extracted),,carrot juice freshly extracted,carrot-juice-freshly-extracted
4201,Sparkling mineral water,,sparkling mineral water,sparkling-mineral-water
4213,Black tea (cold),,black tea cold,black-tea-cold
4236,Apple Schnapps liqueur (optional),https://diffordsguide.com/beer-wine-spirits/531/berentzen-apple-schnapps,apple schnapps liqueur optional,apple-schnapps-liqueur-optional
4240,Cinnamon powder,,cinnamon powder,cinnamon-powder
4243,Orange (fresh fruit),,orange fresh fruit,orange-fresh-fruit
4284,Giffard Caribbean Pineapple liqueur,https://diffordsguide.com/beer-wine-spirits/5986/giffard-premium-pineapple-liqueur,giffard caribbean pineapple liqueur,giffard-caribbean-pineapple-liqueur
4326,Camomile tea syrup (2:1),,camomile tea syrup 21,camomile-tea-syrup-21
4336,Kaffir lime leaf,,kaffir lime leaf,kaffir-lime-leaf
4433,Blackthorn berry liqueur,https://diffordsguide.com/beer-wine-spirits/3724/lapponia-tyrni-buckthorn,blackthorn berry liqueur,blackthorn-berry-liqueur
4488,Lemon (chopped wedges),,lemon chopped wedges,lemon-chopped-wedges
4506,Sauternes dessert wine,,sauternes dessert wine,sauternes-dessert-wine
4613,British bitter ale,https://diffordsguide.com/beer-wine-spirits/3175/fullers-chiswick-bitter,british bitter ale,british-bitter-ale
4619,PassoÃ£ liqueur,https://diffordsguide.com/beer-wine-spirits/209/passoa-liqueur,passo liqueur,passo-liqueur
4624,White cranberry juice drink,,white cranberry juice drink,white-cranberry-juice-drink
4649,Rainwater/Verdelho med-dry madeira,,rainwaterverdelho meddry madeira,rainwaterverdelho-meddry-madeira
4653,Verjuice,,verjuice,verjuice
4659,Brewed cold black breakfast tea,,brewed cold black breakfast tea,brewed-cold-black-breakfast-tea
4695,Green mint (menthe verte) syrup,,green mint menthe verte syrup,green-mint-menthe-verte-syrup
4697,Lemongrass syrup,https://diffordsguide.com/beer-wine-spirits/5786/monin-lemongrass-syrup,lemongrass syrup,lemongrass-syrup
4749,GrÃ¼ner Veltliner dry white wine,,grner veltliner dry white wine,grner-veltliner-dry-white-wine
4761,Liquore Strega,https://diffordsguide.com/beer-wine-spirits/161/liquore-strega,liquore strega,liquore-strega
4770,Blackcurrant / cassis sugar syrup,,blackcurrant  cassis sugar syrup,blackcurrant--cassis-sugar-syrup
4794,Milk (semi-skimmed/2% fat) (steamed foaming),,milk semiskimmed2 fat steamed foaming,milk-semiskimmed2-fat-steamed-foaming
4845,Guinness stout,,guinness stout,guinness-stout
4862,Martini Riserva Speciale Rubino,https://diffordsguide.com/beer-wine-spirits/5111/martini-riserva-speciale-rubino,martini riserva speciale rubino,martini-riserva-speciale-rubino
4875,Old Krupnik,https://diffordsguide.com/beer-wine-spirits/296/old-krupnik,old krupnik,old-krupnik
4907,Aquafaba (chickpea water),,aquafaba chickpea water,aquafaba-chickpea-water
5006,Heather honey,,heather honey,heather-honey
5007,Dry cider,,dry cider,dry-cider
5102,Sage leaves,,sage leaves,sage-leaves
5111,Pumpkin puree,https://diffordsguide.com/beer-wine-spirits/5795/real-pumpkin-puree,pumpkin puree,pumpkin-puree
5117,Basil leaves (thai),,basil leaves thai,basil-leaves-thai
5125,Pineau des Charentes blanc,,pineau des charentes blanc,pineau-des-charentes-blanc
5173,Luxardo Maraschino Cherries,https://diffordsguide.com/beer-wine-spirits/2048/luxardo-maraschino-cherries,luxardo maraschino cherries,luxardo-maraschino-cherries
5178,Acqua Bianca liqueur,https://diffordsguide.com/beer-wine-spirits/6625/acqua-bianca,acqua bianca liqueur,acqua-bianca-liqueur
5232,Batavia arrack,https://diffordsguide.com/beer-wine-spirits/5553/batavia-arrack-van-oosten,batavia arrack,batavia-arrack
5238,Fortunella kumquat liqueur,https://diffordsguide.com/beer-wine-spirits/6435/fortunella-liqueur,fortunella kumquat liqueur,fortunella-kumquat-liqueur
5247,Lillet Rouge,https://diffordsguide.com/beer-wine-spirits/285/lillet-rouge,lillet rouge,lillet-rouge
5273,Condensed milk,,condensed milk,condensed-milk
5300,Cream sherry (medium/sweet),,cream sherry mediumsweet,cream-sherry-mediumsweet
5307,Ouzo 12,https://diffordsguide.com/beer-wine-spirits/40/ouzo-12,ouzo 12,ouzo-12
5311,Damson vodka liqueur,,damson vodka liqueur,damson-vodka-liqueur
5445,Lowland single malt scotch whisky,https://diffordsguide.com/beer-wine-spirits/3784/auchentoshan-three-wood,lowland single malt scotch whisky,lowland-single-malt-scotch-whisky
5452,Branca Menta liqueur,https://diffordsguide.com/beer-wine-spirits/324/brancamenta,branca menta liqueur,branca-menta-liqueur
5471,Pineapple rum,https://diffordsguide.com/beer-wine-spirits/5622/plantation-pineapple-rum,pineapple rum,pineapple-rum
5487,Lychee syrup,,lychee syrup,lychee-syrup
5509,Martini Bitter Aperitivo,,martini bitter aperitivo,martini-bitter-aperitivo
5539,Gingerbread sugar syrup,https://diffordsguide.com/beer-wine-spirits/6295/monin-gingerbread-syrup,gingerbread sugar syrup,gingerbread-sugar-syrup
5590,Combier Elixir,,combier elixir,combier-elixir
5606,Manzoni Rosa Extra Dry Spumante,,manzoni rosa extra dry spumante,manzoni-rosa-extra-dry-spumante
5608,Apple (chopped),,apple chopped,apple-chopped
5626,Sherry vinegar,,sherry vinegar,sherry-vinegar
5656,Cinzano Orancio Vermouth,,cinzano orancio vermouth,cinzano-orancio-vermouth
5670,Mimosa syrup,,mimosa syrup,mimosa-syrup
5675,Double cream / heavy cream,,double cream  heavy cream,double-cream--heavy-cream
5738,Suze gentian liqueur (infused with coffee beans),https://diffordsguide.com/beer-wine-spirits/4215/suze-gentian-liqueur,suze gentian liqueur infused with coffee beans,suze-gentian-liqueur-infused-with-coffee-beans
5807,Ferro China Baliva,https://diffordsguide.com/beer-wine-spirits/5030/ferro-china-baliva,ferro china baliva,ferro-china-baliva
5902,Aloe vera juice drink,,aloe vera juice drink,aloe-vera-juice-drink
5903,Mint fresh sprigs,,mint fresh sprigs,mint-fresh-sprigs
5905,Pisang Ambon green banana liqueur,https://diffordsguide.com/beer-wine-spirits/200/pisang-ambon,pisang ambon green banana liqueur,pisang-ambon-green-banana-liqueur
5923,Oreo cookies,,oreo cookies,oreo-cookies
5999,Lemon,,lemon,lemon
6009,Ketel One Vodka (infused with vanilla),https://diffordsguide.com/beer-wine-spirits/278/ketel-one-vodka,ketel one vodka infused with vanilla,ketel-one-vodka-infused-with-vanilla
6023,Orange cream citrate,https://diffordsguide.com/beer-wine-spirits/2293/bittermens-orange-cream-citrate,orange cream citrate,orange-cream-citrate
6035,Roasted hazelnut sugar syrup,https://diffordsguide.com/beer-wine-spirits/3886/monin-hazelnut-syrup,roasted hazelnut sugar syrup,roasted-hazelnut-sugar-syrup
6130,Rhubarb flavoured vodka,,rhubarb flavoured vodka,rhubarb-flavoured-vodka
6145,L'Esprit De June Liqueur,,lesprit de june liqueur,lesprit-de-june-liqueur
6157,Passion fruit juice,,passion fruit juice,passion-fruit-juice
6160,Saffron fronds,,saffron fronds,saffron-fronds
6182,Yellow bell pepper (optional),,yellow bell pepper optional,yellow-bell-pepper-optional
6210,Roasted coconut cordial,,roasted coconut cordial,roasted-coconut-cordial
6212,Maple bitters,,maple bitters,maple-bitters
6290,Powdered sugar,,powdered sugar,powdered-sugar
6340,Peychaud's or other Creole-style bitters (optional),https://diffordsguide.com/beer-wine-spirits/201/peychauds-bitters,peychauds or other creolestyle bitters optional,peychauds-or-other-creolestyle-bitters-optional
6377,CrÃ¨me de Figue,,crme de figue,crme-de-figue
6384,Oak aged gin,,oak aged gin,oak-aged-gin
6407,Lapponia Lakka Cloudberry,https://diffordsguide.com/beer-wine-spirits/290/lapponia-lakka-cloudberry,lapponia lakka cloudberry,lapponia-lakka-cloudberry
6464,Palo cortado sherry,,palo cortado sherry,palo-cortado-sherry
6551,Mincemeat,,mincemeat,mincemeat
6585,Noilly Prat Extra Dry (originally  Ambre),https://diffordsguide.com/beer-wine-spirits/3981/noilly-prat-extra-dry,noilly prat extra dry originally  ambre,noilly-prat-extra-dry-originally--ambre
6593,Shochu,,shochu,shochu
6664,Lemon Oleo-Saccharum,,lemon oleosaccharum,lemon-oleosaccharum
6690,Tiki bitters,https://diffordsguide.com/beer-wine-spirits/2290/bittermens-elemakule-tiki-bitters,tiki bitters,tiki-bitters
6691,Pear flavoured vodka,,pear flavoured vodka,pear-flavoured-vodka
6723,Pineapple puree,,pineapple puree,pineapple-puree
6753,La FÃ©e Parisienne absinthe (omit for Cocktails Made Easy),https://diffordsguide.com/beer-wine-spirits/293/la-fee-parisienne-absinthe,la fe parisienne absinthe omit for cocktails made easy,la-fe-parisienne-absinthe-omit-for-cocktails-made-easy
6907,Barley malt syrup (1:1),,barley malt syrup 11,barley-malt-syrup-11
6925,Pineapple sugar syrup,https://diffordsguide.com/beer-wine-spirits/6316/monin-pineapple-syrup,pineapple sugar syrup,pineapple-sugar-syrup
6961,Hibiscus sugar syrup,,hibiscus sugar syrup,hibiscus-sugar-syrup
6995,Orange curd,,orange curd,orange-curd
7002,Angostura di Amaro,https://diffordsguide.com/beer-wine-spirits/5112/amaro-di-angostura,angostura di amaro,angostura-di-amaro
7008,Muscovado sugar syrup (2:1),,muscovado sugar syrup 21,muscovado-sugar-syrup-21
7009,Muscat wine,,muscat wine,muscat-wine
7010,Birch sap liqueur,,birch sap liqueur,birch-sap-liqueur
7013,Peppercorn syrup 1:1 (homemade),,peppercorn syrup 11 homemade,peppercorn-syrup-11-homemade
7066,Noilly Ambre vermouth,,noilly ambre vermouth,noilly-ambre-vermouth
7089,Asti Spumante,,asti spumante,asti-spumante
7103,Thyme sprig,,thyme sprig,thyme-sprig
7130,Ramazzotti amaro,https://diffordsguide.com/beer-wine-spirits/1819/ramazzotti-amaro,ramazzotti amaro,ramazzotti-amaro
7146,Pinot Noir red wine,,pinot noir red wine,pinot-noir-red-wine
7197,Camden Pale Ale,https://diffordsguide.com/beer-wine-spirits/2623/camden-pale-ale,camden pale ale,camden-pale-ale
7206,Bob's Liquorice bitters,https://diffordsguide.com/beer-wine-spirits/5742/bobs-liquorice-bitters,bobs liquorice bitters,bobs-liquorice-bitters
7240,Abricot (apricot) eau-de-vie,https://diffordsguide.com/beer-wine-spirits/433/acquavite-del-cardinale,abricot apricot eaudevie,abricot-apricot-eaudevie
7282,Lillet RosÃ©,https://diffordsguide.com/beer-wine-spirits/2690/lillet-rose,lillet ros,lillet-ros
7328,Orange juice (freshly squeezed) (optional),,orange juice freshly squeezed optional,orange-juice-freshly-squeezed-optional
7369,Extra virgin olive oil,,extra virgin olive oil,extra-virgin-olive-oil
7436,Earl Grey tea (cold),,earl grey tea cold,earl-grey-tea-cold
7466,Ban Poitin,https://diffordsguide.com/beer-wine-spirits/4152/ban-poitin,ban poitin,ban-poitin
7470,Rosemary sugar syrup (2:1),,rosemary sugar syrup 21,rosemary-sugar-syrup-21
7572,Guava juice,,guava juice,guava-juice
7701,Lapsang Souchong tea (cold),,lapsang souchong tea cold,lapsang-souchong-tea-cold
7710,Speyside single malt Scotch whisky (from freezer),,speyside single malt scotch whisky from freezer,speyside-single-malt-scotch-whisky-from-freezer
7733,La Vieille Prune plum brandy,,la vieille prune plum brandy,la-vieille-prune-plum-brandy
